flat_id,room_cnt,address,metro,price,region,Парковка,Тип дома,Вид из окон,Тип перекрытий,Жилая площадь,Год постройки,Балкон/лоджия,Отопление,Общая площадь,Подъезды,Санузел,Высота потолков,Тип жилья,Ремонт,Строительная серия,Аварийность,Мусоропровод,Количество лифтов,Площадь кухни,Газоснабжение,Отделка
287928847,4,"Московская область,Красногорск городской округ,Сабурово деревня,ул. Рождественская,3",Пятницкое шоссе,8900000,4593,Подземная,,На улицу и двор,Нет информации,"58,1",2022,"2 лоджии, 1 балкон",Нет информации,"90,1",,2 раздельных,"2,8 м",Вторичка,Без ремонта,,Нет,,"1 пассажирский, 1 грузовой",13,,
289440279,4,"Московская область,Пушкино,мкр. Кудринка,проезд Чапаева,1",,14000000,4593,,Монолитный,На улицу и двор,Железобетонные,55,2002,2 лоджии,Автономная котельная,86,2,1 раздельный,"2,7 м",Вторичка,Евроремонт,,Нет,,1 пассажирский,8,Центральное,
288302834,4,"Москва,ЦАО,р-н Арбат,пер. Романов,3С1","Библиотека им. Ленина,Арбатская,Охотный ряд",169000000,1,Наземная,Кирпичный,На улицу и двор,Железобетонные,,1899,1 балкон,Центральное,"136,6",3,2 совмещенных,,Вторичка,Евроремонт,Индивидуальный проект,Нет,Да,,"6,5",Центральное,
291412166,4,"Москва,ЦАО,р-н Арбат,1-й Николощеповский пер.,20/4",Смоленская,37000000,1,,Кирпичный,На улицу и двор,Смешанные,62,1931,,Центральное,87,3,2 совмещенных,3 м,Вторичка,Евроремонт,Индивидуальный проект,Нет,,,9,Центральное,
270787502,1,"Москва,САО,р-н Дмитровский,Лобненская ул.,13к4","Яхромская,Марк,Селигерская",13938038,1,Открытая,Монолитный,Во двор,,"11,3",,,,"38,8",,1 совмещенный,"2,6 м",Новостройка,,,,,"3 пассажирских, 4 грузовых","19,5",,Чистовая
291716873,1,"Московская область,Пушкино,мкр. Новое Пушкино,ул. Александра Меня,1","Медведково,Бабушкинская,Алтуфьево",5887228,1,Открытая,Монолитный,,,"10,2",,1 лоджия,,"25,5",,1 совмещенный,"2,8 м",Новостройка,,,,,1 грузовой,6,,Чистовая
284407383,6,"Москва,ЦАО,р-н Хамовники,ул. Пречистенка,40/2С4","Парк Культуры,Смоленская,Смоленская",225000000,1,Подземная,Кирпичный,На улицу и двор,Железобетонные,"190,8",1905,,Центральное,"331,6",2,3 раздельных,3 м,Вторичка,Дизайнерский,Индивидуальный проект,Нет,,,,,
278927219,6,"Москва,ЗАО,р-н Очаково-Матвеевское,Нежинская ул.,1к1","Славянский бульвар,Славянский бульвар",584238593,1,,,,Нет информации,,2008,,Центральное,684,1,,4 м,Вторичка Апартаменты,Без ремонта,Индивидуальный проект,Нет,,,,,
291434054,3,"Московская область,Пушкино,мкр. Новое Пушкино,к20","Медведково,Бабушкинская,Алтуфьево",8257181,1,Открытая,Монолитный,,,"38,7",,1 лоджия,,"62,15",,1 совмещенный,"2,8 м",Новостройка,,,,,"1 пассажирский, 1 грузовой","5,7",,Без отделки
279941064,6,"Москва,ЦАО,р-н Арбат,ул. Арбат,4С1","Арбатская,Александровский сад,Боровицкая",77390000,1,Наземная,Кирпичный,На улицу и двор,Деревянные,131,1870,,Центральное,171,2,1 раздельный,"3,6 м",Вторичка,Без ремонта,Индивидуальный проект,Нет,,,7,Центральное,
290397656,4,"Московская область,Наро-Фоминский городской округ,Апрелевка,ул. Дубки,11","Юго-Западная,Новопеределкино,Киевская",20500000,4593,,Панельный,Во двор,Железобетонные,90,2014,1 лоджия,Центральное,"136,5",3,3 совмещенных,"2,7 м",Вторичка,Дизайнерский,Индивидуальный проект,Нет,,"2 пассажирских, 1 грузовой",20,,
275234253,4,"Москва,ЗАО,р-н Дорогомилово,Дохтуровский пер.,6","Студенческая,Киевская,Выставочная",200000000,1,,Монолитный,На улицу и двор,Железобетонные,,2007,,Центральное,220,1,"1 совмещенный, 1 раздельный",,Вторичка,Дизайнерский,Индивидуальный проект,Нет,,3 пассажирских,,,
